,Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,Months
0,0,-0.0631,13.3363,0.09272,9.154,10.122,11.091,12.159,13.336,14.636,16.071,17.657,19.242,0
1,30,0.3481,14.5422,0.09559,9.569,10.75,11.932,13.195,14.542,15.976,17.499,19.114,20.728,1
2,61,0.1743,15.7713,0.09371,10.608,11.822,13.035,14.349,15.771,17.308,18.965,20.752,22.539,2
3,91,0.0652,16.3531,0.09255,11.14,12.357,13.574,14.903,16.353,17.934,19.657,21.533,23.409,3
4,121,-0.0173,16.6647,0.09168,11.455,12.666,13.877,15.206,16.665,18.266,20.024,21.955,23.885,4
5,152,-0.086,16.8379,0.09096,11.657,12.857,14.057,15.379,16.838,18.448,20.226,22.193,24.159,5
6,182,-0.1418,16.9077,0.09037,11.772,12.958,14.144,15.456,16.908,18.518,20.305,22.292,24.279,6
7,212,-0.19,16.9033,0.08986,11.826,12.996,14.165,15.462,16.903,18.507,20.295,22.292,24.29,7
8,243,-0.2337,16.8417,0.08939,11.833,12.984,14.136,15.416,16.842,18.434,20.216,22.216,24.215,8
9,273,-0.2714,16.7441,0.08899,11.807,12.94,14.073,15.335,16.744,18.322,20.095,22.091,24.088,9
10,303,-0.3053,16.6242,0.08863,11.76,12.874,13.988,15.232,16.624,18.187,19.947,21.937,23.926,10
11,334,-0.3373,16.491,0.08828,11.7,12.796,13.892,15.117,16.491,18.037,19.784,21.764,23.744,11
12,364,-0.3656,16.3621,0.08798,11.639,12.718,13.797,15.005,16.362,17.893,19.626,21.596,23.567,12
13,395,-0.3926,16.2339,0.08769,11.576,12.639,13.701,14.893,16.234,17.749,19.469,21.43,23.39,13
14,425,-0.4169,16.117,0.08742,11.518,12.566,13.614,14.791,16.117,17.618,19.325,21.277,23.228,14
15,455,-0.4396,16.0083,0.08718,11.463,12.498,13.533,14.696,16.008,17.497,19.192,21.135,23.078,15
16,486,-0.4616,15.9049,0.08694,11.411,12.433,13.455,14.605,15.905,17.381,19.066,21.0,22.935,16
17,516,-0.4816,15.8137,0.08672,11.365,12.376,13.387,14.526,15.814,17.278,18.954,20.881,22.808,17
18,546,-0.5006,15.7312,0.08651,11.324,12.325,13.326,14.454,15.731,17.186,18.852,20.773,22.694,18
19,577,-0.5192,15.6547,0.08631,11.287,12.278,13.269,14.387,15.655,17.1,18.758,20.673,22.589,19
20,607,-0.5363,15.589,0.08613,11.256,12.238,13.221,14.33,15.589,17.026,18.677,20.588,22.499,20
21,637,-0.5526,15.5316,0.08595,11.23,12.205,13.179,14.281,15.532,16.961,18.606,20.513,22.419,21
22,668,-0.5687,15.4811,0.08577,11.209,12.176,13.144,14.237,15.481,16.904,18.543,20.447,22.35,22
23,698,-0.5836,15.4405,0.08561,11.193,12.154,13.116,14.203,15.44,16.858,18.493,20.394,22.295,23
24,728,-0.5979,15.4072,0.08546,11.182,12.138,13.093,14.175,15.407,16.82,18.451,20.351,22.251,24
25,759,-0.5684,15.6608,0.08452,11.389,12.358,13.327,14.42,15.661,17.078,18.707,20.593,22.48,25
26,789,-0.5684,15.6329,0.08449,11.37,12.337,13.304,14.395,15.633,17.047,18.672,20.554,22.437,26
27,819,-0.5684,15.6062,0.08447,11.351,12.316,13.281,14.37,15.606,17.017,18.639,20.518,22.396,27
28,850,-0.5684,15.5796,0.08444,11.333,12.296,13.259,14.346,15.58,16.988,18.606,20.481,22.355,28
29,880,-0.5684,15.5545,0.08443,11.315,12.277,13.238,14.323,15.554,16.96,18.576,20.447,22.318,29
30,910,-0.5684,15.5301,0.08444,11.297,12.257,13.217,14.301,15.53,16.934,18.547,20.416,22.284,30
31,941,-0.5684,15.5054,0.08447,11.278,12.237,13.195,14.277,15.505,16.907,18.519,20.385,22.252,31
32,971,-0.5684,15.4821,0.08454,11.258,12.216,13.174,14.255,15.482,16.883,18.494,20.36,22.225,32
33,1001,-0.5684,15.4597,0.08465,11.238,12.195,13.152,14.233,15.46,16.861,18.472,20.338,22.204,33
34,1032,-0.5684,15.4376,0.08482,11.215,12.172,13.129,14.21,15.438,16.84,18.452,20.321,22.19,34
35,1062,-0.5684,15.4176,0.08504,11.192,12.149,13.107,14.189,15.418,16.822,18.437,20.31,22.183,35
36,1093,-0.5684,15.3984,0.08532,11.166,12.125,13.084,14.167,15.398,16.806,18.426,20.305,22.184,36
37,1123,-0.5684,15.3813,0.08565,11.141,12.101,13.062,14.147,15.381,16.793,18.419,20.306,22.193,37
38,1153,-0.5684,15.3656,0.08604,11.114,12.077,13.039,14.128,15.366,16.783,18.416,20.313,22.21,38
39,1184,-0.5684,15.3507,0.08649,11.086,12.051,13.016,14.108,15.351,16.774,18.416,20.326,22.235,39
40,1214,-0.5684,15.3373,0.08698,11.057,12.025,12.993,14.089,15.337,16.768,18.42,20.343,22.265,40
41,1244,-0.5684,15.3248,0.0875,11.028,11.999,12.97,14.07,15.325,16.764,18.427,20.364,22.301,41
42,1275,-0.5684,15.3128,0.08807,10.997,11.972,12.946,14.052,15.313,16.761,18.436,20.389,22.342,42
43,1305,-0.5684,15.302,0.08864,10.967,11.945,12.924,14.034,15.302,16.759,18.446,20.415,22.385,43
44,1335,-0.5684,15.2919,0.08923,10.937,11.919,12.902,14.017,15.292,16.758,18.458,20.444,22.431,44
45,1366,-0.5684,15.2824,0.08984,10.906,11.893,12.879,14.0,15.282,16.759,18.472,20.476,22.48,45
46,1396,-0.5684,15.2742,0.09043,10.878,11.868,12.859,13.985,15.274,16.76,18.486,20.508,22.53,46
47,1426,-0.5684,15.2671,0.09101,10.851,11.845,12.839,13.971,15.267,16.763,18.501,20.541,22.58,47
48,1457,-0.5684,15.2609,0.09161,10.823,11.822,12.82,13.957,15.261,16.766,18.519,20.576,22.633,48
49,1487,-0.5684,15.2562,0.09219,10.798,11.8,12.803,13.945,15.256,16.771,18.537,20.612,22.687,49
50,1517,-0.5684,15.2527,0.09277,10.773,11.78,12.786,13.934,15.253,16.778,18.557,20.65,22.743,50
51,1548,-0.5684,15.2505,0.09337,10.749,11.76,12.77,13.924,15.25,16.786,18.579,20.691,22.804,51
52,1578,-0.5684,15.2497,0.09394,10.727,11.742,12.757,13.916,15.25,16.795,18.602,20.732,22.863,52
53,1608,-0.5684,15.25,0.0945,10.706,11.725,12.744,13.909,15.25,16.806,18.625,20.774,22.923,53
54,1639,-0.5684,15.2515,0.09507,10.686,11.709,12.732,13.903,15.252,16.817,18.651,20.819,22.987,54
55,1669,-0.5684,15.2539,0.09559,10.668,11.695,12.722,13.898,15.254,16.829,18.676,20.861,23.046,55
56,1699,-0.5684,15.2569,0.09609,10.651,11.682,12.713,13.894,15.257,16.841,18.7,20.902,23.104,56
57,1730,-0.5684,15.2606,0.09657,10.636,11.671,12.705,13.891,15.261,16.854,18.725,20.944,23.162,57
58,1760,-0.5684,15.2646,0.09701,10.623,11.661,12.699,13.889,15.265,16.866,18.748,20.982,23.216,58
59,1791,-0.5684,15.2691,0.09744,10.61,11.651,12.692,13.888,15.269,16.879,18.772,21.021,23.269,59
60,1821,-0.5684,15.2738,0.09782,10.599,11.643,12.688,13.887,15.274,16.891,18.794,21.056,23.318,60
61,1851,-0.5684,15.2789,0.09819,10.589,11.636,12.683,13.887,15.279,16.903,18.816,21.091,23.366,61
